time,epoch,batch,sample,train avg loss
0min24sec,1,50,200,2.904
0min21sec,1,100,400,2.613
0min22sec,1,150,600,2.399
0min22sec,1,200,800,2.281
0min22sec,1,250,1000,2.215
0min22sec,1,300,1200,2.151
0min22sec,1,350,1400,2.081
0min22sec,1,400,1600,2.025
0min22sec,1,450,1800,1.974
0min22sec,1,500,2000,1.936
0min22sec,1,550,2200,1.889
0min22sec,1,600,2400,1.851
0min22sec,1,650,2600,1.811
0min22sec,1,700,2800,1.782
0min22sec,2,50,200,1.562
0min22sec,2,100,400,1.484
0min22sec,2,150,600,1.433
0min22sec,2,200,800,1.424
0min22sec,2,250,1000,1.409
0min22sec,2,300,1200,1.389
0min22sec,2,350,1400,1.364
0min22sec,2,400,1600,1.365
0min22sec,2,450,1800,1.358
0min22sec,2,500,2000,1.352
0min22sec,2,550,2200,1.347
0min22sec,2,600,2400,1.339
0min22sec,2,650,2600,1.334
0min22sec,2,700,2800,1.331
0min22sec,3,50,200,1.104
0min22sec,3,100,400,1.107
0min22sec,3,150,600,1.112
0min22sec,3,200,800,1.115
0min22sec,3,250,1000,1.135
0min22sec,3,300,1200,1.129
0min22sec,3,350,1400,1.138
0min22sec,3,400,1600,1.130
0min22sec,3,450,1800,1.121
0min22sec,3,500,2000,1.133
0min22sec,3,550,2200,1.134
0min22sec,3,600,2400,1.127
0min22sec,3,650,2600,1.127
0min22sec,3,700,2800,1.124
0min22sec,4,50,200,1.023
0min22sec,4,100,400,1.082
0min22sec,4,150,600,1.062
0min22sec,4,200,800,1.049
0min22sec,4,250,1000,1.056
0min22sec,4,300,1200,1.063
0min22sec,4,350,1400,1.048
0min22sec,4,400,1600,1.045
0min22sec,4,450,1800,1.051
0min22sec,4,500,2000,1.041
0min22sec,4,550,2200,1.041
0min22sec,4,600,2400,1.035
0min22sec,4,650,2600,1.034
0min22sec,4,700,2800,1.037
0min22sec,5,50,200,1.019
0min22sec,5,100,400,0.986
0min22sec,5,150,600,0.980
0min22sec,5,200,800,0.965
0min22sec,5,250,1000,0.969
0min22sec,5,300,1200,0.969
0min22sec,5,350,1400,0.965
0min22sec,5,400,1600,0.970
0min22sec,5,450,1800,0.967
0min22sec,5,500,2000,0.961
0min22sec,5,550,2200,0.968
0min22sec,5,600,2400,0.966
0min22sec,5,650,2600,0.966
0min22sec,5,700,2800,0.972
0min22sec,6,50,200,0.875
0min22sec,6,100,400,0.905
0min22sec,6,150,600,0.872
0min22sec,6,200,800,0.869
0min22sec,6,250,1000,0.866
0min22sec,6,300,1200,0.882
0min22sec,6,350,1400,0.894
0min22sec,6,400,1600,0.903
0min22sec,6,450,1800,0.899
0min22sec,6,500,2000,0.898
0min22sec,6,550,2200,0.899
0min22sec,6,600,2400,0.894
0min22sec,6,650,2600,0.893
0min22sec,6,700,2800,0.897
0min22sec,7,50,200,0.849
0min22sec,7,100,400,0.876
0min22sec,7,150,600,0.865
0min22sec,7,200,800,0.851
0min22sec,7,250,1000,0.859
0min22sec,7,300,1200,0.856
0min22sec,7,350,1400,0.852
0min22sec,7,400,1600,0.863
